table	guest_number	guest_type	dish	timestamp
1	1	man	222	12:00:49.161191
1	1	man	165	12:00:49.161246
1	1	man	110	12:00:49.161268
1	2	man	223	12:00:49.161290
1	2	man	242	12:00:49.161309
1	2	man	44	12:00:49.161368
1	3	man	226	12:00:49.161388
1	3	man	241	12:00:49.161405
1	3	man	47	12:00:49.161435
1	4	woman	157	12:00:49.161453
1	4	woman	350	12:00:49.161503
2	1	woman	56	12:01:55.001250
2	1	woman	67	12:01:55.001312
2	2	man	234	12:01:55.001333
2	2	man	248	12:01:55.001348
2	2	man	44	12:01:55.001389
2	3	man	226	12:01:55.001405
2	3	man	248	12:01:55.001416
2	3	man	5	12:01:55.001442
2	4	man	201	12:01:55.001468
2	4	man	30	12:01:55.001492
2	4	man	159	12:01:55.001511
2	5	woman	58	12:01:55.001524
2	5	woman	58	12:01:55.001534
2	6	man	192	12:01:55.001546
2	6	man	209	12:01:55.001558
2	6	man	79	12:01:55.001580
2	7	man	224	12:01:55.001593
2	7	man	184	12:01:55.001604
2	7	man	90	12:01:55.001614
2	8	woman	177	12:01:55.001626
2	8	woman	54	12:01:55.001636
2	8	woman	142	12:01:55.001650
2	9	man	233	12:01:55.001667
2	9	man	259	12:01:55.001678
3	1	man	222	12:03:03.127487
3	1	man	252	12:03:03.127586
3	1	man	76	12:03:03.127679
3	2	woman	236	12:03:03.127699
3	2	woman	291	12:03:03.127749
3	2	woman	162	12:03:03.127763
3	3	man	224	12:03:03.127777
3	3	man	243	12:03:03.127788
3	3	man	397	12:03:03.127809
3	4	woman	148	12:03:03.127823
3	4	woman	162	12:03:03.127834
3	4	woman	326	12:03:03.127853
3	5	woman	59	12:03:03.127865
3	5	woman	55	12:03:03.127875
3	6	man	222	12:03:03.127887
3	6	man	246	12:03:03.127897
3	6	man	78	12:03:03.127907
3	7	woman	163	12:03:03.127919
3	7	woman	301	12:03:03.127939
3	8	man	222	12:03:03.127951
3	8	man	247	12:03:03.127961
3	8	man	79	12:03:03.127970
3	9	woman	239	12:03:03.127982
3	9	woman	384	12:03:03.128002
3	9	woman	156	12:03:03.128013
3	10	man	198	12:03:03.128027
3	10	man	208	12:03:03.128038
3	10	man	2	12:03:03.128058
3	11	woman	238	12:03:03.128069
3	11	woman	252	12:03:03.128080
3	11	woman	288	12:03:03.128100
3	12	woman	236	12:03:03.128112
3	12	woman	266	12:03:03.128122
3	12	woman	123	12:03:03.128136
4	1	man	223	12:04:19.400435
4	1	man	164	12:04:19.400535
4	1	man	109	12:04:19.400562
4	2	man	233	12:04:19.400586
4	2	man	257	12:04:19.400628
5	1	man	234	12:05:36.523347
5	1	man	264	12:05:36.523418
5	1	man	241	12:05:36.523444
5	2	man	211	12:05:36.523463
5	2	man	251	12:05:36.523476
5	2	man	112	12:05:36.523523
5	3	man	224	12:05:36.523540
5	3	man	241	12:05:36.523553
5	3	man	321	12:05:36.523588
6	1	man	215	12:06:55.420772
6	1	man	254	12:06:55.420877
6	1	man	80	12:06:55.420962
6	2	woman	163	12:06:55.421016
6	2	woman	324	12:06:55.421073
6	3	woman	56	12:06:55.421093
6	3	woman	70	12:06:55.421109
6	4	man	218	12:06:55.421127
6	4	man	255	12:06:55.421142
6	4	man	57	12:06:55.421175
6	5	man	219	12:06:55.421193
6	5	man	246	12:06:55.421208
6	5	man	440	12:06:55.421238
6	6	man	225	12:06:55.421258
6	6	man	256	12:06:55.421273
6	6	man	385	12:06:55.421300
6	7	man	217	12:06:55.421315
6	7	man	241	12:06:55.421330
6	7	man	7	12:06:55.421357
6	8	man	234	12:06:55.421374
6	8	man	262	12:06:55.421389
6	9	man	214	12:06:55.421404
6	9	man	197	12:06:55.421420
6	9	man	73	12:06:55.421448
7	1	woman	150	12:08:22.409148
7	1	woman	161	12:08:22.409214
7	1	woman	351	12:08:22.409261
7	2	woman	157	12:08:22.409278
7	2	woman	282	12:08:22.409291
7	2	woman	127	12:08:22.409304
8	1	man	193	12:09:50.541732
8	1	man	30	12:09:50.541819
8	1	man	165	12:09:50.541842
8	2	woman	222	12:09:50.541862
8	2	woman	64	12:09:50.541877
8	3	man	224	12:09:50.541893
8	3	man	253	12:09:50.541908
8	3	man	386	12:09:50.541963
8	4	man	220	12:09:50.541981
8	4	man	241	12:09:50.541994
8	4	man	8	12:09:50.542044
8	5	man	220	12:09:50.542057
8	5	man	244	12:09:50.542069
8	5	man	23	12:09:50.542091
8	6	man	223	12:09:50.542105
8	6	man	249	12:09:50.542119
8	6	man	27	12:09:50.542142
8	7	woman	235	12:09:50.542157
8	7	woman	384	12:09:50.542181
8	7	woman	157	12:09:50.542194
8	8	man	236	12:09:50.542207
8	8	man	194	12:09:50.542219
8	8	man	18	12:09:50.542247
8	9	man	219	12:09:50.542261
8	9	man	254	12:09:50.542272
8	9	man	325	12:09:50.542296
9	1	woman	147	12:11:29.199611
9	1	woman	160	12:11:29.199718
9	1	woman	279	12:11:29.199789
9	2	woman	236	12:11:29.199813
9	2	woman	254	12:11:29.199830
9	2	woman	375	12:11:29.199859
10	1	woman	164	12:13:09.370022
10	1	woman	198	12:13:09.370105
10	1	woman	436	12:13:09.370176
11	1	woman	171	12:14:49.542393
11	1	woman	58	12:14:49.542455
11	1	woman	131	12:14:49.542478
11	2	woman	239	12:14:49.542495
11	2	woman	247	12:14:49.542507
11	2	woman	292	12:14:49.542543
11	3	man	180	12:14:49.542557
11	3	man	207	12:14:49.542568
11	3	man	109	12:14:49.542602
12	1	man	225	12:16:33.002181
12	1	man	190	12:16:33.002260
12	1	man	89	12:16:33.002285
12	2	man	180	12:16:33.002307
12	2	man	204	12:16:33.002323
12	2	man	74	12:16:33.002373
12	3	man	214	12:16:33.002390
12	3	man	202	12:16:33.002405
12	3	man	51	12:16:33.002433
12	4	man	233	12:16:33.002449
12	4	man	262	12:16:33.002465
12	5	woman	159	12:16:33.002483
12	5	woman	292	12:16:33.002525
12	6	woman	204	12:16:33.002543
12	6	woman	158	12:16:33.002557
12	6	woman	118	12:16:33.002577
12	7	man	219	12:16:33.002593
12	7	man	256	12:16:33.002608
12	7	man	323	12:16:33.002634
13	1	man	208	12:18:27.947717
13	1	man	151	12:18:27.947794
13	1	man	108	12:18:27.947817
13	2	woman	230	12:18:27.947832
13	2	woman	251	12:18:27.947846
13	2	woman	54	12:18:27.947858
13	3	man	224	12:18:27.947870
13	3	man	184	12:18:27.947882
13	3	man	92	12:18:27.947892
14	1	man	231	12:20:27.419644
14	1	man	183	12:20:27.419746
14	1	man	103	12:20:27.419768
14	1	man	95	12:20:27.419783
14	2	woman	238	12:20:27.419800
14	2	woman	266	12:20:27.419814
14	2	woman	129	12:20:27.419833
15	1	man	223	12:22:29.318582
15	1	man	242	12:22:29.318643
15	1	man	79	12:22:29.318660
16	1	man	238	12:24:31.215197
16	1	man	202	12:24:31.215292
16	1	man	17	12:24:31.215316
17	1	man	233	12:26:33.110033
17	1	man	262	12:26:33.110161
17	2	man	202	12:26:33.110194
17	2	man	204	12:26:33.110212
17	2	man	104	12:26:33.110263
17	3	woman	75	12:26:33.110283
17	3	woman	261	12:26:33.110298
18	1	woman	154	12:28:40.542872
18	1	woman	167	12:28:40.542951
18	1	woman	439	12:28:40.543008
18	2	woman	156	12:28:40.543024
18	2	woman	142	12:28:40.543039
18	3	man	222	12:28:40.543053
18	3	man	243	12:28:40.543066
18	3	man	111	12:28:40.543110
18	4	man	230	12:28:40.543123
18	4	man	186	12:28:40.543134
18	4	man	103	12:28:40.543144
18	4	man	90	12:28:40.543154
18	5	woman	202	12:28:40.543167
18	5	woman	287	12:28:40.543187
18	6	child	446	12:28:40.543208
18	6	child	466	12:28:40.543224
19	1	man	193	12:31:04.754539
19	1	man	205	12:31:04.754617
19	1	man	96	12:31:04.754680
19	2	man	233	12:31:04.754702
19	2	man	262	12:31:04.754720
19	3	man	211	12:31:04.754737
19	3	man	240	12:31:04.754753
19	3	man	75	12:31:04.754781
19	4	woman	156	12:31:04.754799
19	4	woman	199	12:31:04.754811
19	4	woman	332	12:31:04.754846
19	5	woman	54	12:31:04.754935
19	5	woman	54	12:31:04.754948
20	1	woman	76	12:33:46.452545
20	1	woman	67	12:33:46.452666
20	2	woman	222	12:33:46.452696
20	2	woman	76	12:33:46.452732
20	3	man	232	12:33:46.452751
20	3	man	187	12:33:46.452766
20	3	man	104	12:33:46.452780
20	3	man	91	12:33:46.452794
20	4	man	222	12:33:46.452808
20	4	man	167	12:33:46.452823
20	4	man	111	12:33:46.452836
20	5	man	213	12:33:46.452850
20	5	man	249	12:33:46.452865
20	5	man	95	12:33:46.452922
20	6	man	224	12:33:46.452937
20	6	man	191	12:33:46.452949
20	6	man	92	12:33:46.452960
20	7	woman	237	12:33:46.452975
20	7	woman	334	12:33:46.453019
20	7	woman	165	12:33:46.453032
20	8	man	176	12:33:46.453047
20	8	man	210	12:33:46.453061
20	8	man	77	12:33:46.453085
20	9	man	236	12:33:46.453099
20	9	man	256	12:33:46.453111
20	9	man	60	12:33:46.453134
21	1	man	205	12:37:22.037305
21	1	man	147	12:37:22.037380
21	1	man	107	12:37:22.037398
21	2	man	205	12:37:22.037413
21	2	man	146	12:37:22.037424
21	2	man	106	12:37:22.037434
21	3	woman	236	12:37:22.037447
21	3	woman	266	12:37:22.037459
21	3	woman	119	12:37:22.037482
21	4	woman	119	12:37:22.037496
21	4	woman	134	12:37:22.037506
21	5	woman	128	12:37:22.037517
21	5	woman	133	12:37:22.037862
21	6	woman	146	12:37:22.037896
21	6	woman	162	12:37:22.037912
21	6	woman	328	12:37:22.037965
21	7	man	224	12:37:22.037981
21	7	man	185	12:37:22.037995
21	7	man	97	12:37:22.038007
21	8	man	225	12:37:22.038018
21	8	man	185	12:37:22.038028
21	8	man	95	12:37:22.038038
21	9	man	234	12:37:22.038061
21	9	man	240	12:37:22.038087
21	9	man	33	12:37:22.038165
22	1	child	448	12:42:52.572840
22	1	child	444	12:42:52.572916
22	1	child	467	12:42:52.572941
22	2	man	222	12:42:52.572965
22	2	man	254	12:42:52.572984
22	2	man	79	12:42:52.573000
22	3	man	202	12:42:52.573018
22	3	man	30	12:42:52.573033
22	3	man	165	12:42:52.573049
22	4	woman	238	12:42:52.573065
22	4	woman	315	12:42:52.573114
22	4	woman	167	12:42:52.573130
23	1	man	218	12:49:53.301962
23	1	man	240	12:49:53.302300
23	1	man	395	12:49:53.302582
23	2	man	223	12:49:53.302751
23	2	man	158	12:49:53.302812
23	2	man	109	12:49:53.302864
23	3	man	233	12:49:53.302923
23	3	man	250	12:49:53.302974
23	3	man	94	12:49:53.303111
23	4	woman	167	12:49:53.303260
23	4	woman	277	12:49:53.303325
23	4	woman	117	12:49:53.303378
23	5	man	205	12:49:53.303438
23	5	man	146	12:49:53.303489
23	5	man	107	12:49:53.303535
23	6	woman	229	12:49:53.303611
23	6	woman	249	12:49:53.303689
23	6	woman	59	12:49:53.303754
